Date,Events_Impact
23-01-2014,Increased
23-12-2014,Increased
30-05-2015,Increased
10-09-2015,Decreased
18-05-2016,Increased
28-09-2016,Increased
04-10-2017,Increased
29-12-2017,Temporary Increase
06-02-2018,Increased
28-06-2018,Increased
03-07-2019,Increased
07-11-2019,Increased
08-05-2020,Significantly Increased
04-12-2020,Increased
18-11-2021,Increased
03-01-2021,Volatile
20-05-2022,Increased
20-09-2022,Increased
09-06-2023,Increased
22-08-2023,Volatile
17-01-2024,Increased
19-01-2024,Varied
